h: 0.01
xi step: 0.001
xi: 0.1386132812500001
+----------------------+------------------------+------------------------+--------------------+
|          z           |          u_p           |           u            |         F          |
+----------------------+------------------------+------------------------+--------------------+
|          0           | 2.561696520395969e-06  | 3.550851602587931e-07  |         0          |
|         0.01         | 2.5616964212303942e-06 | 3.5506914185622174e-07 | 102.97556821497194 |
|         0.02         | 2.5616949337470302e-06 | 3.5502108633915827e-07 | 205.95331626191467 |
|         0.03         | 2.5616884879917284e-06 | 3.549409927578148e-07  | 308.9351730025465  |
|         0.04         | 2.561671134083108e-06  | 3.5482885977461126e-07 | 411.9225653432088  |
|         0.05         | 2.561634542356431e-06  | 3.546846860061347e-07  | 514.9161672083762  |
| 0.060000000000000005 | 2.5615680037261747e-06 | 3.545084705114695e-07  | 617.9156484874727  |
|         0.07         | 2.5614584304284413e-06 | 3.543002134204287e-07  | 720.9194239891535  |
|         0.08         | 2.5612903573503485e-06 | 3.540599167014146e-07  | 823.9244024778424  |
|         0.09         | 2.5610459441996464e-06 | 3.5378758506875453e-07 |  926.92573591588   |
| 0.09999999999999999  | 2.560704978813759e-06  | 3.5348322702926093e-07 | 1029.9165690929333 |
| 0.10999999999999999  | 2.5602448819534124e-06 | 3.531468560675986e-07  | 1132.887789892266  |
| 0.11999999999999998  | 2.5596407139720967e-06 | 3.5277849196981783e-07 | 1235.8277805210616 |
| 0.12999999999999998  | 2.5588651837983347e-06 | 3.523781622841225e-07  | 1338.7221701191004 |
| 0.13999999999999999  | 2.5578886607137066e-06 | 3.5194590391758146e-07 | 1441.5535892566493 |
|         0.15         | 2.5566791894553147e-06 | 3.514817648670524e-07  | 1544.301426938227  |
|         0.16         | 2.5552025092168525e-06 | 3.509858060820649e-07  | 1646.9415908437666 |
|         0.17         | 2.5534220771681427e-06 |  3.50458103456794e-07  | 1749.4462716622993 |
| 0.18000000000000002  | 2.551299097157999e-06  | 3.498987499475426e-07  | 1851.7837125052924 |
| 0.19000000000000003  | 2.5487925543105095e-06 | 3.493078578113401e-07  | 1953.9179845266772 |
| 0.20000000000000004  | 2.545859256269315e-06  | 3.4868556096033834e-07 | 2055.808770023882  |
| 0.21000000000000005  | 2.5424538818888943e-06 | 3.480320174256571e-07  | 2157.4111544480897 |
| 0.22000000000000006  | 2.5385290382155547e-06 | 3.4734741192318156e-07 | 2258.6754289116657 |
| 0.23000000000000007  | 2.5340353266440816e-06 | 3.466319585125531e-07  | 2359.546904945233  |
| 0.24000000000000007  | 2.5289214191784698e-06 | 3.4588590333921557e-07 | 2459.965743425033  |
| 0.25000000000000006  | 2.5231341457666975e-06 | 3.4510952744788543e-07 | 2559.8667997616385 |
| 0.26000000000000006  | 2.516618593720142e-06  | 3.4430314965421005e-07 | 2659.1794876121976 |
|  0.2700000000000001  | 2.5093182202673713e-06 | 3.434671294596667e-07  | 2757.8276635483467 |
|  0.2800000000000001  | 2.5011749793297405e-06 | 3.4260186999294614e-07 | 2855.7295352787105 |
|  0.2900000000000001  | 2.492129463642145e-06  | 3.4170782095916723e-07 | 2952.797596186118  |
|  0.3000000000000001  | 2.482121063375681e-06  | 3.4078548157629617e-07 | 3048.938589092716  |
|  0.3100000000000001  | 2.4710881424498574e-06 | 3.398354034761148e-07  | 3144.053502308104  |
|  0.3200000000000001  | 2.4589682337496114e-06 | 3.3885819354501346e-07 | 3238.037601143171  |
|  0.3300000000000001  | 2.4456982544858564e-06 | 3.3785451667780074e-07 | 3330.780498181924  |
| 0.34000000000000014  | 2.4312147429572912e-06 | 3.368250984156526e-07  | 3422.1662656912386 |
| 0.35000000000000014  | 2.4154541179842657e-06 | 3.3577072743729943e-07 | 3512.0735936098877 |
| 0.36000000000000015  |  2.39835296229193e-06  | 3.346922578706048e-07  | 3600.3759965886566 |
| 0.37000000000000016  | 2.379848331117975e-06  | 3.3359061138986815e-07 | 3686.942073547792  |
| 0.38000000000000017  | 2.359878087308674e-06  | 3.3246677906252863e-07 | 3771.635823171013  |
|  0.3900000000000002  | 2.3383812641434947e-06 | 3.313218229075069e-07  | 3854.3170186609914 |
|  0.4000000000000002  | 2.315298457091154e-06  | 3.3015687712625194e-07 | 3934.8416449334563 |
|  0.4100000000000002  | 2.2905722456458835e-06 |  3.28973148966717e-07  | 4013.0624012193466 |
|  0.4200000000000002  | 2.264147646318504e-06  | 3.2777191918003193e-07 | 4088.829271769974  |
|  0.4300000000000002  | 2.235972597759255e-06  | 3.2655454202963533e-07 | 4161.990167011873  |
|  0.4400000000000002  | 2.205998478863241e-06  | 3.253224448131428e-07  | 4232.391637068703  |
| 0.45000000000000023  | 2.174180660550133e-06  | 3.240771268583236e-07  | 4299.879659049842  |
| 0.46000000000000024  | 2.1404790917107815e-06 | 3.228201579563071e-07  | 4364.300498891855  |
| 0.47000000000000025  | 2.104858919567901e-06  |  3.21553176197604e-07  |  4425.50164782248  |
| 0.48000000000000026  | 2.0672911443972196e-06 | 3.202778851797718e-07  | 4483.332832690311  |
| 0.49000000000000027  | 2.0277533081900224e-06 | 3.1899605055963287e-07 | 4537.6470984602065 |
|  0.5000000000000002  | 1.9862302163962577e-06 | 3.1770949592792065e-07 | 4588.301960108903  |
|  0.5100000000000002  | 1.942714691356487e-06  | 3.164200979901208e-07  | 4635.160619962306  |
|  0.5200000000000002  | 1.897208355395666e-06  |  3.15129781044122e-07  | 4678.093245191725  |
|  0.5300000000000002  | 1.849722440794877e-06  | 3.138405107531028e-07  | 4716.978298728872  |
|  0.5400000000000003  | 1.8002786229589585e-06 | 3.1255428722085475e-07 | 4751.7039152686475 |
|  0.5500000000000003  | 1.7489098720360884e-06 | 3.1127313738644354e-07 | 4782.169312307184  |
|  0.5600000000000003  | 1.6956613169947468e-06 | 3.099991067656915e-07  | 4808.286224315901  |
|  0.5700000000000003  | 1.6405911146958238e-06 | 3.0873425057833414e-07 | 4829.9803461902475 |
|  0.5800000000000003  | 1.5837713147822958e-06 | 3.0748062431175104e-07 | 4847.192770048439  |
|  0.5900000000000003  | 1.5252887092120607e-06 | 3.0624027378473987e-07 | 4859.881397310972  |
|  0.6000000000000003  | 1.4652456529453599e-06 | 3.0501522478769914e-07 | 4868.022305792568  |
|  0.6100000000000003  | 1.4037608396296635e-06 | 3.038074723885768e-07  | 4871.611049319067  |
|  0.6200000000000003  | 1.3409700130645404e-06 | 3.0261897000674986e-07 | 4870.663865186473  |
|  0.6300000000000003  | 1.2770265917419899e-06 | 3.0145161836929904e-07 | 4865.218762662481  |
|  0.6400000000000003  | 1.2121021798141085e-06 | 3.0030725447556777e-07 | 4855.336463759424  |
|  0.6500000000000004  | 1.1463869334203266e-06 | 2.991876407060355e-07  |  4841.10116576274  |
|  0.6600000000000004  | 1.080089746407238e-06  | 2.9809445421994486e-07 | 4822.621093577995  |
|  0.6700000000000004  |  1.01343821411804e-06  | 2.970292767923214e-07  | 4800.028808976994  |
|  0.6800000000000004  | 9.466783281759903e-07  | 2.9599358524451515e-07 |  4773.48124341374  |
|  0.6900000000000004  | 8.800738491526501e-07  | 2.9498874262266547e-07 | 4743.159421399075  |
|  0.7000000000000004  | 8.139052978893092e-07  | 2.940159902750444e-07  | 4709.267842644896  |
|  0.7100000000000004  | 7.484685003276881e-07  | 2.9307644097159764e-07 | 4672.033493512807  |
|  0.7200000000000004  | 6.840726154460896e-07  | 2.921710731967621e-07  | 4631.704461944883  |
|  0.7300000000000004  | 6.210375719224918e-07  | 2.913007267294611e-07  | 4588.548135248986  |
|  0.7400000000000004  | 5.596908373378456e-07  | 2.9046609960185727e-07 | 4542.848967099189  |
|  0.7500000000000004  | 5.003634452879829e-07  | 2.896677465009244e-07  | 4494.9058091324405 |
|  0.7600000000000005  | 4.433852122800723e-07  | 2.8890607864434524e-07 | 4445.028813794463  |
|  0.7700000000000005  | 3.8907908980808856e-07 | 2.881813651250512e-07  | 4393.535928785274  |
|  0.7800000000000005  | 3.3775462012665466e-07 | 2.8749373567759373e-07 | 4340.749019671379  |
|  0.7900000000000005  | 2.897005001383712e-07  | 2.8684318477551473e-07 | 4286.989675933698  |
|  0.8000000000000005  | 2.451763101681682e-07  | 2.8622957692336463e-07 | 4232.574776683312  |
|  0.8100000000000005  | 2.0440353725660617e-07 | 2.856526529618002e-07  | 4177.811915006694  |
|  0.8200000000000005  | 1.6755611992339027e-07 | 2.8511203716144805e-07 | 4122.994803538459  |
|  0.8300000000000005  | 1.3475086620963476e-07 | 2.846072448434616e-07  | 4068.398807067503  |
|  0.8400000000000005  | 1.0603825000225171e-07 | 2.841376902346962e-07  | 4014.276768838493  |
|  0.8500000000000005  | 8.139426847589069e-08  | 2.8370269424605223e-07 | 3960.855313106288  |
|  0.8600000000000005  | 6.071423445632954e-08  | 2.833014918565588e-07  | 3908.331814096269  |
|  0.8700000000000006  | 4.380955780463003e-08  | 2.8293323879554197e-07 | 3856.8722168100135 |
|  0.8800000000000006  |  3.04086979549425e-08  | 2.825970172423128e-07  | 3806.6098736725867 |
|  0.8900000000000006  | 2.0163480838204277e-08 | 2.822918403075636e-07  | 3757.6455185756927 |
|  0.9000000000000006  | 1.2661777548345282e-08 | 2.820166551217286e-07  | 3710.048433315908  |
|  0.9100000000000006  | 7.447030347967264e-09  | 2.8177034442952505e-07 | 3663.8587703485327 |
|  0.9200000000000006  | 4.044181252984763e-09  | 2.815517266710281e-07  | 3619.0908845509416 |
|  0.9300000000000006  | 1.990169865542725e-09  | 2.813595546101101e-07  | 3575.737406790785  |
|  0.9400000000000006  | 8.654433759069898e-10  | 2.8119251264165504e-07 | 3533.773683793875  |
|  0.9500000000000006  |  3.21280416438334e-10  | 2.8104921296042953e-07 | 3493.162140581659  |
